,레시피 이름,식품명,재료,양념,조리순서
434,오징어진미채무침 만들기,오징어무침,진미채 200g##마요네즈 2스푼##,고추장 2스푼##올리고당 2스푼##매실액 2스푼##간장 1스푼##식용유 1스푼##참기름 1스푼##깨소금 1스푼##설탕 0.5스푼##,"진미채는 먹기편하게 가위로 잘게 자르고
마요네즈2를 넣고 무쳐주세요
냉동실에 오래있었다면 찜기에 한번찌거나
물에 살짝 헹궈 물기를 짜고 준비해주세요##양념들을 넣고~##조물조물 무치면 끝!!
정말 쉬운 밑반찬이죠^^##"
435,돼지고기완자전 만드는 법,돼지고기완자전,돼지고기등심 500g##양파 1개##녹말가루 3큰술##계란 1개##식용유 적당량##,소금 약간##후추 약간##,"돼지고기와 양파를 분쇄기에 간 다음에 녹말가루, 소금, 후추를 넣고 치대주세요.##동글동글하게 모양을 만들어줍니다.##계란을 풀어서 계란물에 적셔서 구워줄거에요. 밀가루를 한번 묻히면 계란물이 더 잘 묻혀지는데요. 전 밀가루가 뻑뻑하고 싫어서 생략하고 계란만 입혔어요.##팬을 달군뒤에 식용유를 두르고 계란을 입힌 완자를 올려서 노릇하게 구워줍니다. 중불로 앞뒤로 노릇하게 구워주시면 돼요.##"
436,"맛보장 백종원 코다리찜, 코다리조림",코다리찜,,고추가루 3큰술##고추장 1큰술##진간장 1/2컵##액젓 2큰술##맛술 3큰술##다진마늘 1.5큰술##설탕 2큰술##올리고당 2큰술##생강가루 1/2티스푼##,"채소는 손질 세척하여 준비하세요.
고추는 청양고추나 풋고추 취향껏 사용하시고, 홍고추는 생략 가능합니다 . 저는 꽈리고추를 추가로 더 넣어 주었어요. 꽈리고추 넣으면 맛과 향이 좋아지고 코다리와 함께 먹으면 아주 맛있답니다.##코다리찜에 가능한 반건조 코다리를 사용하시면 살이 부서지지 않고 쫄깃한 식감이 더욱 맛있어요.##코다리의 지느러미를 잘라주고, 안쪽에 가시 옆 부분에 검은 막을 제거해 주셔야 비린내가 나지 않아요.##흐르는 물에 세척하여 채반에 물기를 빼주세요##무는 납작하게 썰어 주세요
양파는 굵게 채썰어 줍니다.##대파는 길죽하게, 고추는 어슷썰기 해주세요##양념장을 레시피대로 만드세요##냄비에 무를 먼저 깔아 주세요##무 위에 코다리를 올려 주세요##물을 종이컵으로 1.5컵 넣어 주세요##양념장을 넣어 주세요##중불을 유지하고 , 국물을 떠서 코다리 위로 부어 주면서 양념이 고루 섞이도록 끓여요.
센불에 조리하지 마세요!!##10분간 조림하고 양파를 넣어 주세요. 다시 뚜껑을 덮고 10분간
조림합니다.##대파와 고추, 꽈리고추를 넣고
5분간 더 조림해 주면 완성이에요##맛보장 백종원 코다리찜 레시피 완성입니다##쫄깃한 코다리에 맛깔난 양념이 쏙쏙 배어든 밥도둑 코다리찜##살캉하게 익은 무도 넘 맛있어요.
지금 찬바람 맞고 말린 반건조 겨울 코다리로 맛있는 코다리찜 만들어 보세요.##"
437,너무 간단한데 맛있어서 놀라는 백종원 분식점 떡볶이 황금 레시피,채소떡볶이,떡볶이떡 2컵##물 2컵##대파 1/2대##통깨 약간##,고추장 2T##고추가루 1.5T##간장 2T##설탕 3T##,"먼저 종이컵 기준 물 2컵에 떡볶이떡을 넣고 센불에서 팔팔 끓여 줍니다.
냉동 떡이라면 물에 잠깐 담궈두셨다가 사용하세요##물이 팔팔 끓으면 양념을 다 넣어준 뒤 잘 풀어주고 또 자글자글 끓여 줍니다.
양념을 미리 섞어두시면 좋아요##국물이 졸아들면 대파를 가위로 쫑쫑 썰어 넣어주시고 통깨 약간 뿌려 주시면 끝!##너무 간단한데 맛있어서 놀라는 백종원 분식점 떡볶이 완성입니다!##한개 먹어보니 어머머!정말 분식점에서 파는 떡볶이 맛이 나면서 넘 맛있어요. 너무 간단한데 맛있어서 놀랬어요^^##"
438,마른 새우볶음,새우볶음,마른새우 100g##,고추장 2T##올리고당 2T##맛술 1T##설탕 1T##케찹 1T##다진마늘 1t##고추기름 1/2T##통깨 ##,"마른새우 100g을 기름 두른 팬에서, 약불로 충분히 볶습니다 볶은 새우를 체에 받쳐 흔들어보세요. 입안을 찌르는 새우 다리들이 건조해져 체밑으로 떨어집니다.##팬에 고추장 2T, 올리고당 2T, 물 2T, 미림 1T, 설탕 1T, 케찹 1T, 다진 마늘 1t, 고추기름 1/2T를 바글바글 끓여 팬 가장자리고 기포가 생기면 얼른 불을 끄세요.##볶아둔 새우를 양념에 넣고 재빨리 버무립니다. 깨를 뿌려 마무리합니다.##"
439,깻잎나물 볶음,깻잎나물볶음,깻잎 1단##굵은소금 ##멸치액젓 ##들기름 ##참깨 ##물 ##다진마늘 4개마늘분##,,"깻잎은 길게 줄기와 잎이 모두 달린 나물 용으로 데려와서 잎만 똑똑 떼어주세요.##깻잎이 부드러워서 길쭉하게 떼어내도 되니 깻잎만 떼내느라 애쓰지 않으셔도 돼요.##잘 다듬어낸 깻잎은 팔팔 끓는 물에 데쳐주셔야 하는데, 굵은 소금을 조금 넣어주시면 간도 되고 색이 더 진한 초록이 되니 넣고 데쳐주세요.##깻잎이 덜 익으면 나중에 볶아도 잘 안 익으니 충분히 익을 때까지 데쳐주시고 바로 찬물에 퐁당해서 씻어주세요.##팬에 데쳐준 깻잎을 넣고 들기름도 넣어주세요. 일반 식용유들도 좋지만 향이 좋은 들기름이 있으면 더 좋겠죠?##국간장으로 깻잎나물 간을 마무리해주셔도 되는데 멸치 액젓이 있으면 액젓을 넣어주셔도 맛있어요. (시판용 멸치 액젓이라서 많이 짜지 않은데, 그래도 한 숟가락만 넣어주세요. 두 숟가락을 넣었더니 좀 짜더라고요.)##데쳐낸 깻잎과 들기름, 멸치 액젓 그리고 다진 마늘을 넣고 조물조물 무쳐준 다음에 3-4분 정도 볶아주시면 끝. 대파가 있으면 작은 크기로 썰어주시고, 불을 끈 다음에 솔솔 뿌려가며 올려주세요. 그래야 향이 더 좋고 맛있는 깻잎 나물이 완성된답니다.##요렇게 볶아주고 그 위에 볶음 참깨를 솔솔 뿌려주면 되는데, 그냥 밥 반찬으로 먹어도 좋고 밥이랑 고추장을 준비해서 비빔밥으로 즐겨도 참 맛있어요. 데칠 때, 시간이 좀 짧으면 볶아도 잘 익지 않으니 잎부분이 익었다 싶을 때까지 데쳐주시고 바로 찬물에 넣어 헹궈주셔야 해요. 쉬운 반찬으로 준비해보는 깻잎나물 볶음.##"
440,가자미구이 간장드레싱,가자미구이,,,가자미는 해동한 후 깨끗이 씻어 키친타올로 물기를 닦아주고##위의 재료를 모두 넣고 간장드레싱을 만들어줍니다 식초가 다 떨어져서 레몬즙을 넣었답니다##비닐백에 감자전분을 넣고 가자미에 고루 옷을 입혀준 뒤 탈탈 털어줍니다##달군 팬에 기름을 넉넉히 두르고 가자미를 중불에서 앞뒤로 노릇하게 구워줍니다##접시에 파채와 라임 슬라이스 가자미구이를 담은 뒤 드레싱을 고루 끼얹어주고 다진 파를 그 위에 조금 더 뿌려 마무리했답니다##
441,"갈치구이, 비린내 안나게 바삭한 갈치구이 하기",갈치구이,갈치 2마리##식용유 3T##부침가루 2T##쌀뜨물 적당량##,후추 약간##맛소금 2꼬집##,갈치를 쌀뜨물에 넣어 해동 해 줍니다. 생물은 그냥 조리하셔도 됩니다.##비린내는 껍질에서 많이나므로 껍질을 칼로 쓱쓱 밀듯이하여 벗겨준뒤 맛소금 한꼬집과 후추로 밑간을 합니다.##부침가루 2T를 준비해 갈치에 입혀줍니다. 가루는 털어내어 얇게 입혀 줍니다.##후라이팬에 식용유를 넉넉히 두르고 예열한뒤 갈치를 올립니다.##갈치는 두껍지않은 생선이므로 다른 생선보다 빨리 익습니다. 중불에서 앞뒷면 살이 다 익으면 겉이 노릇해지게 한번씩만 바삭하게 구워내면 완성.##
442,계란찜 - 새우젓이 포인트 감칠맛 나는 새우 달걀찜,달걀찜(새우젓),달걀 4개##물 1컵##새우젓 1##대파(부추) ##후추 ##미림 1##설탕 0.3##참기름 ##,,냄비에 물 1컵을 붓고 새우젓 1숟가락을 넣어준다.##달걀은 4개 풀어주고 여기에 미림1 그리고 설탕0.3을 넣어주세요. 그럼 달걀 비린맛을 잡아줍니다.##물이 끓어 오르면##풀어 놓은 달걀물을 부어준다.##바닥에 계란이 붙지 않게 숟가락으로 두세번 젓어준다. 계란이 몽글 몽글한 느낌이 들어요.##뚜껑을 덮고 약불로 줄인다.##준비한 대파 또는 부추를 넣고 후추 톡톡 그리고 마지막에 참기름을 한방울 정도 떨어트려준다.##
443,가오리찜,가오리찜,가오리 3마리##청주 2##생강 ##마늘 ##,진간장 4##국간장 1##청양고추 1개##다진 마늘 1##다진 파 3##고춧가루 1##올리고 당 1##홍고추 1개##,"미끌 미끌한 점액을 깨끗하게 제거하고##내장을 빼고##흐르는 물에 씻어 주심돼요.##손질된 가오리 3마리를  찜기에 올리고  청주 2, 생강, 마늘을 넣고 김이 오르기 시작하면
대략 10~15분 정도 쪄주세요.##진간장 4,국간장 1, 청양고추 1개, 다진 마늘 1,다진 파3, 고춧가루 1, 올리고 당 1, 홍고추 1개을 넣어
양념장을 만들어 줍니다.##완성된 가오리를 그릇에 담고##양념장을 껴얹어 주면
가오리찜 완성##부드러운 가오리찜##"
444,된장소스 삼겹살구이,삼겹살구이,돼지고기(목살 or 삼겹살) 200g##된장 1큰술##청주 고기가잠길정도로##물엿 1/2큰술##설탕 1/2큰술##참기름 1/2큰술##국간장 1/2큰술##물 1큰술##양배추 2장##대파 20cm##양파 1/2개##마늘 3~4개##참깨 약간##,,"재료를 준비한다. 양배추는 한입크기로 잘게 찢어주고 대파와 양파는 채썰고 마늘은 슬라이스해준다.##돼지고기를 미리 청주에 약 10분간 재워둔 뒤 양념을 전부 섞어준다.(설탕반큰술, 국간장반큰술, 물1큰술, 된장1큰술, 물엿반큰술, 참기름반큰술)
시간이 없거나 사용하는 고기가 얇다면 청주는 3큰술정도만 사용하여 양념에 섞어버려도 좋다.##재워두었던 고기에서 청주를 전부 따라낸 뒤 양념을 넣고 섞는다. 그 후 15분간 재운다.##기름두른 팬에 양파와 양배추, 파, 마늘을 넣고 볶는다.##마늘이 약간 익을 때 쯤 고기를 넣고 볶는다.
고기를 넣을땐 중불로 굽는다.##고기가 전부 익으면 접시에 던다.##위에 깨를 약간 뿌려 마무리해준다.##"
445,[간단한 국요리] 미소된장국 만드는 법 일본된장국,일본된장국,미소된장 ##물 5컵(종이컵기준)##두부 1/2모##팽이버섯 500원짜리동전만큼##쪽파 10짜리동전만큼##,소금 ##,"(2인분기준)
재료: 미소된장, 물5컵(종이컵기준),두부반모,팽이버섯 조금(500원짜리동전만큼),쪽파 조금(10원짜리만큼),소금,가쯔오브시한움큼##미소된장국의 재료로 미역도 넣고 유부도 넣고 하시는 분들도 계시지만~
좀 간단하게 만들어 볼거예요
두부는 가로세로1cm정도 크기로 깍뚝 썰구요
쪽파도 1cm크기정도로~
팽이버섯은 2cm정도 크기로 잘라주세요
이게 정답은 아닌데 전 좀 작게 써는게 후루룩 먹기 좋더라구요^^##미소된장국에 넣을 가쯔오브시를 한움큼 준비합니다.
(만약 집에 가쯔오브시가 없으시면 이부분은 패스해도 상관없어요~)##종이컵기준 물을 5컵을 냄비에 넣고 끓여주시다가 막 끓어 오르면, 채에 걸쳐서 가쯔오부시를 넣어줍니다.
가쯔오부시를 넣고 후루룩 끓어 오르면1분정도더 끓어주시고 채반만 빼주고 가쯔오부시는 버려주세요##가쯔오부시 국물이 우려난 물에 미소된장을 한스푼을 넣어줍니다.##여기에 미리 썰어두었던 두부와 팽이버섯을 넣어줍니다.##소금을 조금씩 넣어가면서 간을 봐주세요
간이 너무 세지 않고 심심하게 해주는게 좋더라구요^^##마지막 간까지 다해주었으면 쪽파를 넣고 1분정도 더 끓어주시고 불을 꺼주시면 일본식 된장국인 미소된장국 완성##"
446,【술도둑+밥도둑】고갈비 만들기~,고등어구이,고등어 1마리##양파 1/3개##땡초 2개##쪽파 1줄기##,간장 2T##고춧가루 2T##맛술 2T##고추장 1/2T##다진마늘 1/2T##설탕 1/2T##,"땡초2개랑 양파1/3개를
다져서 넣고##고춧가루2스푼,양조간장2스푼,맛술2스푼,고추장반스푼,설탕반스푼,다진마늘반스푼넣어서 섞어 주세요~##고등어는 안쪽 부터 구워 주세요~##다구워지면##안쪽으로 양념을 골고루 발라서##쪽파 솔솔~ 뿌려 주심 끝입니다^~^
(대파다져서 뿌리셔두 되고 깨소금만 뿌리셔두 되셔요^~^)##오늘 처럼 비오는날~ 소주 한잔 생각 나실때 완벽한 안주로 고갈비 어떠세용?!^~^##"
447,등심스테이크 l 기념일에 빠져서는 안되는 스테이크 레시피 ★,등심스테이크,소고기 300g##아스파라거스 2개##방울토마토 4개##마늘 4개##버터 1숟가락##,소금 약간##후추 약간##올리브유 1숟가락##로즈마리 약간##,"키친타월로 핏물을 뺀 소고기는 소금, 후추, 올리브유를 뿌려 10분간 재운다.##팬에 기름을 두르고 채소를 넣고 소금,후추를 뿌려 굽는다.##달군팬에 올리브유를 두르고 소고기를 올려 굽는다.
달군 팬에 구워줘야 육즙이 덜 빠져나가요.##버터를 넣어 겉면이 노릇하게 굽는다.##팬에 소스 재료를 넣고 한소끔 끓인다.
소스에 표고톡톡을 1/4봉을 넣으면 맛과 향이 더 좋아져요##접시에 고기와 채소를 올린 뒤 소스를 뿌려 완성한다.##"
448,집에서 즐기는 레스토랑급 안심스테이크 레시피!,안심스테이크,,,"재료는 이렇게 준비하시면 됩니다.
파프리카는 1개 반 정도 사용했어요.##재료가 준비되면 채소만 따로 손질해서 준비해 주세요.##안심스테이크용 고기는 굽기 2~30분 전에 실온에 놓은 상태로 시즈닝을 해주셔야 합니다.
그래야 안에 까지 간이 베어든답니다.
소금과 후추를 앞 뒤로 뿌려준 다음 올리브유를 발라주시면 됩니다.##후추와 소금으로 시즈닝.
(이 작업만으로도 레스토랑 스테이크 맛을 낼 수 있습니다)##올리브유를 앞뒤로 골고루 발라주고##로즈마리와 오레가노를 올려주세요.##시즈닝이 끝나면 후라이팬을 뜨겁게 달궈준 다음, 연기가 올라오면 올리브유를 넉넉히 두른 뒤 안심스테이크를 올려주세요.
쎈불에서 앞, 뒤 각각 30초
로즈마리와 오레가노를 올린부분을 먼저 익혀주세요.
그래야 올리브오일에 향이 베어들면서 스테이크의 풍미가 달라진답니다.##앞, 뒤로 30초씩 구웠다면 버터와 통마늘을 넣어주세요.
마늘은 가로로 반으로 잘라서 구워주세요.##버터가 다 녹으면 반으로 자른 통마늘 위로 스테이크를 올려주세요(필수!!)
이 작업은 녹인버터로 basting이라는 작업을 하는겁니다.
두꺼운 고기는 속이 익어야 하기때문에 겉이 타면 안되죠.
그래서 마늘위에 올려서 basting하는거랍니다.
basting은 녹인버터나 지방으로 음식을 조리하면서 스푼으로 고기나 음식물에 지방을 끼얹어 음식이 마르는걸 막아주고, 겉면에 풍미를 집중시키는 것을 말하는 거랍니다.
레스토랑 스테이크의 풍미가 다른건 이 작업도 한 몫을 해준답니다.##이렇게 베이스팅(basting)을 해주면 됩니다.
이 작업이 끝나면 중불로 줄이고 조금 더 구워주시면 됩니다.
중불 앞, 뒤 20초 (미디움레어)
고기의 굽기는 쇠젓가락으로 가운데를 3~4초간 찔러서 손목에 대보면 알 수 있습니다.

차가우면 레어 / 따뜻하면 미디움 / 뜨거우면 웰던 입니다.##다 구운 고기는 실온에 두고, 양파와 손질해둔 야채를 구워주세요.
기름은 고기를 구웠던 곳에 해주면 더 맛있습니다.
(고기에서 나온 육즙과 향신료의 향이 채소에도 베어들게 됩니다)
양파는 두껍게 1cm 두께로 잘라주세요.##먼저 양파를 구워준 다음 야채를 넣어주세요.
모양이 흐트러지면 안예쁘거든요 ^^##그 다음 남은 채소들을 구워주세요.##그릇에 플레이팅 해주면 완성입니다.##이렇게 슬라이스로 썰어서 대접을 해도 좋겠죠?##"
449,간장 다진소고기볶음(다대기),쇠고기볶음,소고기 다짐육 174g##,간장 6T##올리고당 3.5T##다진마늘 1.5T##맛술 1T##매실액 1T##참기름 2T##깨소금 2T##후추 티스푼 1/2T##들기름 1T##,"소고기 다짐육 174g을 준비합니다 *마트에서 갉아서 판매하는 걸로 샀어요##깨소금과 들기름을 빼고 준비된 모든 양념을 모두 넣고 골고루 섞어주세요 냉장실에 넣고 30분정도 재워주세요##센불에서 달달 볶아주세요
고기가 익을수록 수분이 생깁니다##수분이 90~95%정도 없어질때까지 볶아주세요##마지막에 깨소금 2T와 들기름1T를 넣고 골고루 섞어주세요##"
450,새콤매콤한 낙지무침,낙지무침,,초고추장 2T##고춧가루 1T##식초 1T##설탕 1/2T##물엿 1/2T##후추 약간##깨 살짝##,"오늘의 준비재료들입니다. 모두 재료들 준비하셨죠~~ 그럼 요리를 시작해 볼까요.##먼저 낙지의 머리를 가위로 갈라서, 안에 있는 내장을 잘라 제거해주세요.##그리고 양쪽 눈도 가위로 잘라서 제거해주세요. 아 참, 낙지의 입도 제거해주는 거 잊지 마세요.##그리고 소금을 사용해서 낙지를 박박 문질러서 깨끗하게 씻어주세요.##낙지 데칠 물이 팔팔 끓어오르면, 소금 1/2T과 식초 1T을 넣어주세요.
이래야 낙지 맛이 소금을 넣어 심심하지 않고,
식초를 넣어 쫄깃쫄깃하게 맛있게 나온답니다.##팔팔 끓는 물에 낙지를 넣고 센 불에 3분 정도 데쳐주세요. 다 익은 낙지는 체에 밭쳐 물기를 빼주세요.
작은 낙지는 1~2분 정도만 데쳐주세요.##낙지의 물기를 빼고 있는 동안, 양파, 당근, 배는 0.5cm 간격으로 채 썰어주고, 홍고추, 청고추는 고명으로 어슷 썰어주시고, 미나리는 깨끗이 씻어 4cm로 잘라주시고, 상추는 잘게 쫑쫑 썰어주세요.
깨끗이 씻은 상추와 미나리는 물기를 빼주시는 거 잊지 마세요.
만약 물기가 그대로 남아있으면, 재료들이 촥 붙지 않고 겉돌아요. 그러니 물기를 쫙 빼주세요. 그래야 재료에 양념이 촥 잘 배어 맛있답니다.##체에 밭쳐논 낙지의 물기가 덜 빠졌으면, 키친타월 위에 올려 물기를 닦아줘도 괜찮답니다.##그리고 낙지 사이즈 중 한 입에 먹기에 큰다리는 어슷썰기로 잘게 잘라주세요.##요렇게 잘라준 낙지의 양은 대충 1접시 정도 나오네요. 3인분 기준은 이 정도 양이라고 생각하시면 된답니다.##잘게 썰어준 낙지를 그릇에 담아 초고추장 2T, 고춧가루 1T, 식초 1T, 설탕 1/2T, 물엿 1/2T, 후추 약간을 넣고 양념이 낙지에 잘 베이도록 버무려주세요.
무칠 때 낙지를 식혀서 버무려주세요. 뜨거울 때 버무려주시면, 야채가 익어버려서 풀이 팍 죽어서 맛이 없어져요.##양념을 버무른 낙지에 상추를 뺀 야채들을 전부다 넣고 한 번 더 버무려주세요.##마무리로 상추를 넣고 아기 다루듯이 조심스럽게 한 번더 버무려주세요. 먹기 직전에 깨를 톡톡 뿌려서 접시에 내주세요.
상추는 연한 야채이므로 같이 넣어버리면, 숨이 팍 죽어서 맛이 없답니다.##그냥 이대로 맨밥에 먹어도 시큼 새큼 달콤해서 맛있긴 하지만 더 맛있게 먹는 방법을 가르쳐드릴게요~~##먹을 만큼 밥을 접시에 담고 참기름을 살짝 뿌려주시고, 깨도 약간 넣어주세요.##집에 있는 소금 기름 바른 김을 가위를 이용해서 가늘게 잘라주세요. 가늘게 자른 김을 밥 위에 올려주세요.##"
451,메밀전 만들기~,메밀전,메밀부침가루 또는 부침가루 2컵##물 3컵##오이고추 2개##홍고추 1개##묵은김치 4가닥##부추 조금##소금 조금##카놀라유 ##,,오이고추는##꼭지를 때어내고 반으로 갈라##씨 부분을 제거하고##소금을 솔솔 뿌려 절여요.##부추는 오이고추와 같은 길이로 썰어요.##묵은김치는 속을 털어내고 깨끗이 씻어 물에 담가 신맛을 제거해요.##물기를 짜요.##홍고추는 어슷 썰어요.##메밀부침가루를 준비해요.##매밀부침가루 2컵에##물 3컵을 부어##반죽물을 만들어요.##반죽물이 완성되면##팬에##카놀라유를 두르고##반죽물을 부어 얇게 펴요.##부추.묵은김치 절여진 오이고추.홍고추를 올리고##반죽물을 대충 살짝 올려##앞뒤로 노릇노릇하게 익혀요.##
452,"새우 스캠피, 새우구이 만들기",새우구이,새우 대하 12마리##버터 2T##다진 마늘 1T##소금 ##후추 ##파슬리 가루 약간씩##,버터 4T##파슬리 가루 약간##,"새우는 내장과 머리를 제거하고
소금과 후추를 약간 뿌려서 밑간을 해주세요##새우를 찍어먹을 소스도 아주 간단하게
버터에 파슬리 가루를 넣고 조금 기다리셨다가
버터가 녹으면 파슬리가루와 함께 골고루 섞어주세요
그럼 끝~ㅎ##마체프 전기렌지에 살짝 예열한 캄파나 후라이팬에
버터를 한덩어리 올려 주시구요##마늘과 버터를 살짝 볶다가
밑간을 해둔 새우를 넣어서 익히시면되요
여기에 화이트와인을 살짝 뿌려도 좋답니다##새우가 작다면 이렇게 뚜껑이 없이도 금방 익을 거구요
오동통한 새우라면 쿠킹호일을 살짝 덮어주시면
조금 더 빨리 익는답니다##버터 소스를 이렇게 만들어 두시고##새우 스캠피를 버터소스에 찍어 먹으면
넘 고소하면서도 맛나답니다~
맥주를 절로 부르는 안주가 되겠죠? ㅎ
캠핑장에서 이렇게 만들어 드시면
주변 캠퍼들이 다 부러운 눈으로 보실 것 같아요~^^
모두의 부러움을 사지만 간단한 새우 스캠피
꼭 만들어 보세요~!##"
453,너무 간단한데 맛있어서 놀라는 백종원 분식점 떡볶이 황금 레시피,떡볶이,떡볶이떡 2컵##물 2컵##대파 1/2대##통깨 약간##,고추장 2T##고추가루 1.5T##간장 2T##설탕 3T##,"먼저 종이컵 기준 물 2컵에 떡볶이떡을 넣고 센불에서 팔팔 끓여 줍니다.
냉동 떡이라면 물에 잠깐 담궈두셨다가 사용하세요##물이 팔팔 끓으면 양념을 다 넣어준 뒤 잘 풀어주고 또 자글자글 끓여 줍니다.
양념을 미리 섞어두시면 좋아요##국물이 졸아들면 대파를 가위로 쫑쫑 썰어 넣어주시고 통깨 약간 뿌려 주시면 끝!##너무 간단한데 맛있어서 놀라는 백종원 분식점 떡볶이 완성입니다!##한개 먹어보니 어머머!정말 분식점에서 파는 떡볶이 맛이 나면서 넘 맛있어요. 너무 간단한데 맛있어서 놀랬어요^^##"
454,구운채소 샌드위치,채소샌드위치,가지 ##애호박 ##단호박 ##파프리카 ##빵 ##치즈 ##,발사믹드레싱 ##,"그릴에 올리브유를 살짝 두르고 야채들을 그릴무늬가 나도록 구워주세요##드레싱도 담백하게 발사믹오일 드레싱을 준비했어요##빵을 반가르고 오일 발사믹 드레싱을 살짝 뿌리고 구운 단호박, 호박, 가지를 올려주세요.##파프리카를 넣어주세요. 야채위에 오일 발사믹 드레싱을 듬뿍 뿌리고 집에 통 피자치즈가 있길래 한덩어리 썰어서 올려주었어요##"
455,★참치 양송이 구이,참치머리구이,,,
456,"술안주, 밥반찬으로 좋은 키조개 구이",키조개구이,키조개 3개##치즈 1숟가락##파슬리 약간##,,키조개 껍질을 수세미로 씻어준다.##벌어진 사이로 양쪽으로 칼을 넣어가며 키조개 살을 때 낸 후 내장을 분리한다.##소금을 넣고 살살 문질러 씻어준 후 물기를 빼준다.##먹기 좋은 크기로 썰어준다.##치즈 1숟가락을 넣고 손질한 키조개를 넣고 볶아준다.##그릇에 담고 파슬리가루를 뿌려 완성한다.##
457,냉동 조기구이,조기구이,,다진마늘 1T##청주 적당히##후추 조금##참기름 적당히##식용유 적당히##,"냉동조기를 꺼내어 청주에 30정도 푹 담궈두세요##조기를 꺼내어 칼집을 두군데 내 주시고
팬에 기름넣어 구워주세요##굽는시간에 소스를 만들어요
다진마늘1T.청양고추3~4개정도 참기름 적당히.후추
넣어 섞어주세요##앞뒤로 노릇하게 구운 조기를 접시에 담고
소스를 뿌려서 드시면
비릿내냄새 전혀 안나고요
고소하면서 맛있답니다ㅋ##"
458,부드러워 먹기 좋은 돼지고기 산적~!,돼지고기산적,돼지고기 목살 300g##쪽파 1줌##,간장 6큰술##다진마늘 1큰술##양파즙 2큰술##참기름 1큰술##매실액 2큰술##맛술 2큰술##올리고당 1큰술##후춧가루 조금##생강가루 조금##물 1/2컵##,"돼지고기 목심인데요
칼집을 군데 군데 내면 양념도 잘 베이고 훨씬 부드러워 진답니다##양념장을 미리 만들어요##돼지고기를 양념장에 넣고
양념이 잘 베이도록 냉장고에서 1시간 정도 놔두세요##달군 팬에 양념이 베인 돼지고기를 약한불에서 앞뒤로 익히면 완성입니다##"
459,초초간단 햄구이,햄구이,햄 8슬라이스##,,달구어진 팬에 기름을 두릅니다.##햄을 슬라이스하여 올려줍니다.##뒤집어 주면 완성!##
460,대파 닭안심 조림,닭고기대파꼬치구이,닭안심 5토막##대파 1대##통마늘 3개##,물 200ml##간장 3큰술##자일로스설탕 1큰술 반##다진마늘 1/2큰술##후추 톡톡##맛술 2큰술##,"닭안심 도톰히 썰어주고 대파1cm 크기로 썰어줍니다
통마늘은 반으로 잘라주세요##궁중팬에 물200ml
간장3큰술
자일로스설탕 1.5큰술
맛술2큰술
후추톡톡
넣고 저어 준 후 닭안심 투하~ 바글바글 끓여 주다가##대파,통마늘 넣고##중불에서 양념이 조려지도록 끓여줍니다##짜작하게 조려지면 약불로
줄이고 다진마늘 반큰술
넣어##슥슥 저어 조려내시면 완성##"
